Name,BirthYear,Country,Position,Difficulty,CareerPath
Adrián Jusino,1992,Bolivia,Defender,Medium,The Strongest → Sheriff Tiraspol
Rudy Cardozo,1990,Bolivia,Midfielder,Medium,Bolívar → Guabirá
Gilbert Álvarez,1992,Bolivia,Forward,Medium,Blooming → Royal Pari
Bruno Miranda,1998,Bolivia,Forward,Medium,Universitario de Sucre → D.C. United
Marc Enoumba,1992,Cameroon,Defender,Medium,Astra Giurgiu → Alanyaspor
Olivier Ntcham,1996,France,Midfielder,Medium,Manchester City → Celtic → Marseille
Maxime Gonalons,1989,France,Midfielder,Medium,Lyon → Roma → Granada
Bafétimbi Gomis,1985,France,Striker,Medium,Saint-Étienne → Lyon → Swansea → Marseille → Al Hilal
Jimmy Briand,1985,France,Forward,Medium,Rennes → Lyon → Guingamp → Bordeaux
Mathieu Valbuena,1984,France,Midfielder,Medium,Marseille → Dynamo Moscow → Lyon → Fenerbahçe
Steve Mandanda,1985,France,Goalkeeper,Medium,Marseille → Crystal Palace → Marseille
Adil Rami,1985,France,Defender,Medium,Lille → Valencia → AC Milan → Sevilla → Fenerbahçe
Bacary Sagna,1983,France,Defender,Medium,Arsenal → Manchester City → Benevento
Patrice Evra,1981,France,Defender,Medium,Monaco → Manchester United → Juventus → Marseille
Benoît Trémoulinas,1985,France,Defender,Medium,Bordeaux → Sevilla → Dynamo Kyiv
Jérémy Toulalan,1983,France,Midfielder,Medium,Lyon → Málaga → Monaco → Bordeaux
Yoann Gourcuff,1986,France,Midfielder,Medium,Rennes → AC Milan → Bordeaux → Lyon
Djibril Cissé,1981,France,Striker,Medium,Auxerre → Liverpool → Marseille → Panathinaikos
Sidney Govou,1979,France,Forward,Medium,Lyon → Panathinaikos → Évian
Florent Malouda,1980,France,Winger,Medium,Lyon → Chelsea → Metz
Willy Sagnol,1977,France,Defender,Medium,Monaco → Bayern Munich
Eric Abidal,1979,France,Defender,Medium,Lyon → Barcelona → Monaco
Lilian Thuram,1972,France,Defender,Medium,Parma → Juventus → Barcelona
Marcel Desailly,1968,France,Defender,Medium,Marseille → AC Milan → Chelsea
Didier Deschamps,1968,France,Midfielder,Medium,Marseille → Juventus → Chelsea
Zinedine Zidane,1972,France,Midfielder,Medium,Juventus → Real Madrid
Youri Djorkaeff,1968,France,Forward,Medium,Inter → Kaiserslautern → Bolton
Christian Karembeu,1970,France,Midfielder,Medium,Sampdoria → Real Madrid → Middlesbrough
Laurent Blanc,1965,France,Defender,Medium,Auxerre → Napoli → Barcelona → Marseille → Inter → Manchester United
Jean-Pierre Papin,1963,France,Striker,Medium,Marseille → AC Milan → Bayern Munich
Michel Platini,1955,France,Midfielder,Medium,Saint-Étienne → Juventus
Just Fontaine,1933,France,Striker,Medium,Reims
Raymond Kopa,1931,France,Forward,Medium,Reims → Real Madrid → Reims
Alain Giresse,1952,France,Midfielder,Medium,Bordeaux → Marseille
Jean Tigana,1955,France,Midfielder,Medium,Bordeaux → Marseille
Luis Fernández,1959,France,Midfielder,Medium,Paris SG → Cannes
Amara Simba,1961,France,Striker,Medium,Monaco → Paris SG → Lens
Basile Boli,1967,France,Defender,Medium,Auxerre → Marseille → Rangers
Frank Leboeuf,1968,France,Defender,Medium,Strasbourg → Chelsea → Marseille
Vincent Candela,1973,France,Defender,Medium,Roma → Bolton
Christophe Dugarry,1972,France,Forward,Medium,Bordeaux → AC Milan → Barcelona → Marseille
Robert Pirès,1973,France,Midfielder,Medium,Metz → Marseille → Arsenal → Villarreal
Sylvain Wiltord,1974,France,Forward,Medium,Bordeaux → Arsenal → Lyon → Marseille
David Trezeguet,1977,France,Striker,Medium,Monaco → Juventus → Hércules → River Plate
Thierry Henry,1977,France,Striker,Medium,Monaco → Juventus → Arsenal → Barcelona → New York Red Bulls
